商品コード,商品名,管理区分(0:製番、1:MRP、2:ロット),手配区分（0：発注、2：外製、3：内製）,商品グループコード (商品グループ1),商品グループコード (商品グループ2),商品グループコード (商品グループ3),商品グループコード (商品グループ4),商品グループコード (商品グループ5),取引先コード (標準手配先),購入単価1,購入単価2,購入単価3,購入単価4,購入単価5,購入単価2適用数,購入単価3適用数,購入単価4適用数,購入単価5適用数,按分単位係数1,按分単位係数2,按分単位係数3,按分単位係数4,按分単位係数5,メーカー型番,手配単位,手配単位倍数,最低ロット数,手配ロット数,標準販売単価1,販売単価2適用数,標準販売単価2,販売単価3適用数,標準販売単価3,販売単価4適用数,標準販売単価4,販売単価5適用数,標準販売単価5,販売単価6適用数,標準販売単価6,販売単価7適用数,標準販売単価7,販売単価8適用数,標準販売単価8,販売単価9適用数,標準販売単価9,販売単価10適用数,標準販売単価10,標準販売原単価(JPY),在庫評価単価(JPY),管理単位,支給単価(JPY),安全在庫数,所要量計算に含める(0：含める、1:含めない),メーカー,仕様,ロケーションコード (標準受入ロケーション),ロケーションコード (標準使用ロケーション),ロケーションコード (標準完成ロケーション),リードタイム(日),安全リードタイム(日),棚番,入数,受注対象(0:対象、1:非対象、2:受注/EDI対象),税率,消費期限日数,ロット頭文字,非表示（「1」:yes、それ以外: no）,ダミー商品（「1」:yes、それ以外: no）,SKU 1,SKU 2,商品備考1,商品備考2,商品備考3,商品備考4,商品備考5,受注と同時にオーダー（「1」:yes、それ以外: no）,受注引当対象（「1」:yes、それ以外: no）,仕訳グループコード (販売仕訳グループ),仕訳グループコード (購買仕訳グループ),帳票 製造指示書,サイズ *,色 *,長さ *,部品区分 *,分類1 *,分類2 *,分類3 *,分類4 *,分類5 *,分類6 *,分類7 *,分類8 *,奉行商品コード *,品番 *,分類9 *,分類10 *,分類11 *,分類12 *,分類20 *,代表分類 *,トムソン型管理番号 *,最小梱包数量 *,JIS規格品 *,廃番日 *,従業員コード (製造責任者 *),従業員コード (生産管理担当 *),商品画像,商品画像ファイル名,商品画像2,商品画像2ファイル名,商品画像3,商品画像3ファイル名,SKU JANコード,SKU備考1,SKU備考2,EDI注文登録コメント1,EDI注文登録コメント2,EDI注文登録コメント3,登録日時,登録者,最終更新日時,最終更新者,ログインユーザー名,ログインユーザー部門名,ログインユーザー部門名2,ログインユーザー部門名3,自社情報備考,理論在庫数,有効在庫数,出庫可能数,出庫可能数2,次回入庫予定日,次回入庫予定数,最終入庫日,最終出庫日,子商品の数,取引先名 (標準手配先),郵便番号 (標準手配先),住所1 (標準手配先),住所2 (標準手配先),TEL (標準手配先),FAX (標準手配先),メールアドレス (標準手配先),客先担当者名 (標準手配先),取引先備考1 (標準手配先),取引先備考2 (標準手配先),取引先備考3 (標準手配先),取引先備考4 (標準手配先),取引先備考5 (標準手配先),金額の小数点以下桁数 (標準手配先),検収リードタイム (標準手配先),掛率 (標準手配先)(％),売掛残高初期値 (標準手配先),売掛基準日 (標準手配先),与信限度額 (標準手配先),回収サイクル1 (標準手配先),標準リードタイム (標準手配先),買掛残高初期値 (標準手配先),買掛基準日 (標準手配先),支払サイクル1 (標準手配先),得意先 (標準手配先)（「1」:yes、それ以外: no）,発注先 (標準手配先)（「1」:yes、それ以外: no）,納入先 (標準手配先)（「1」:yes、それ以外: no）,非表示 (標準手配先)（「1」:yes、それ以外: no）,端数処理 (標準手配先)(round:四捨五入 / floor:切捨 / ceil:切上),課税区分 (標準手配先)(0:課税 / 1:非課税),締日グループ (標準手配先)(「31」は「末」を意味),税計算単位 (標準手配先)(0:請求書単位 / 1:納品書単位 / 2:納品明細単位),請求パターン (標準手配先)(0:締め(残高表示なし) / 1:締め(残高表示あり) / 2:都度),回収サイクル2 月 (標準手配先),回収サイクル2 日 (標準手配先),支払サイクル2 月 (標準手配先),支払サイクル2 日 (標準手配先),取引先画像 (標準手配先),取引先画像ファイル名 (標準手配先),取引先画像2 (標準手配先),取引先画像2ファイル名 (標準手配先),取引先画像3 (標準手配先),取引先画像3ファイル名 (標準手配先),帳票 納品書 (標準手配先),帳票 請求書 (標準手配先),帳票 発注書 (標準手配先),帳票 外製指示書 (標準手配先),帳票 EDI注文登録 (標準手配先),EDIカートメッセージ (標準手配先),帳票 EDI注文受信 (標準手配先),発注先締めパターン (標準手配先)(0:なし / 1:締め / 2:都度),発注先締日グループ (標準手配先)(「31」は「末」を意味),発注先税計算単位 (標準手配先)(0:受入単位 / 1:締め・日付単位 / 2:締め単位),取引先登録番号 (標準手配先),メールアドレス 見積書 (標準手配先),メールアドレス 出荷指示書/前受金請求書 (標準手配先),メールアドレス 納品書 (標準手配先),メールアドレス 請求書 (標準手配先),メールアドレス 発注書 (標準手配先),メールアドレス 支払通知書 (標準手配先),メールアドレス 外製指示書 (標準手配先),最終取引日 (標準手配先),取引先名カナ * (標準手配先),適格請求書発行事業者登録番号 * (標準手配先),事業者区分 * (標準手配先),企業サイトURL * (標準手配先),代表者氏名 * (標準手配先),奉行コード * (標準手配先),TEL2 * (標準手配先),部品支給方法 * (標準手配先),取引先グループコード (標準手配先:取引先グループ1),取引先グループ名 (標準手配先:取引先グループ1),カテゴリ (標準手配先:取引先グループ1)（0：(すべて)、1：取引先グループ1、2：取引先グループ2、3：取引先グループ3、4：取引先グループ4、5：取引先グループ5）,取引先グループコード (標準手配先:取引先グループ2),取引先グループ名 (標準手配先:取引先グループ2),カテゴリ (標準手配先:取引先グループ2)（0：(すべて)、1：取引先グループ1、2：取引先グループ2、3：取引先グループ3、4：取引先グループ4、5：取引先グループ5）,取引先グループコード (標準手配先:取引先グループ3),取引先グループ名 (標準手配先:取引先グループ3),カテゴリ (標準手配先:取引先グループ3)（0：(すべて)、1：取引先グループ1、2：取引先グループ2、3：取引先グループ3、4：取引先グループ4、5：取引先グループ5）,取引先グループコード (標準手配先:取引先グループ4),取引先グループ名 (標準手配先:取引先グループ4),カテゴリ (標準手配先:取引先グループ4)（0：(すべて)、1：取引先グループ1、2：取引先グループ2、3：取引先グループ3、4：取引先グループ4、5：取引先グループ5）,取引先グループコード (標準手配先:取引先グループ5),取引先グループ名 (標準手配先:取引先グループ5),カテゴリ (標準手配先:取引先グループ5)（0：(すべて)、1：取引先グループ1、2：取引先グループ2、3：取引先グループ3、4：取引先グループ4、5：取引先グループ5）,取引通貨 (標準手配先:取引通貨),掛率グループコード (標準手配先:掛率グループ),取引先コード (標準手配先:この納入先と関連する得意先),取引先グループコード (標準手配先:この納入先と関連する得意先:取引先グループ1),取引先グループコード (標準手配先:この納入先と関連する得意先:取引先グループ2),取引先グループコード (標準手配先:この納入先と関連する得意先:取引先グループ3),取引先グループコード (標準手配先:この納入先と関連する得意先:取引先グループ4),取引先グループコード (標準手配先:この納入先と関連する得意先:取引先グループ5),取引通貨 (標準手配先:この納入先と関連する得意先:取引通貨),掛率グループコード (標準手配先:この納入先と関連する得意先:掛率グループ),商品グループ名 (商品グループ1),カテゴリ (商品グループ1)（0：(すべて)、1：商品グループ1、2：商品グループ2、3：商品グループ3、4：商品グループ4、5：商品グループ5）,商品グループ名 (商品グループ2),カテゴリ (商品グループ2)（0：(すべて)、1：商品グループ1、2：商品グループ2、3：商品グループ3、4：商品グループ4、5：商品グループ5）,商品グループ名 (商品グループ3),カテゴリ (商品グループ3)（0：(すべて)、1：商品グループ1、2：商品グループ2、3：商品グループ3、4：商品グループ4、5：商品グループ5）,商品グループ名 (商品グループ4),カテゴリ (商品グループ4)（0：(すべて)、1：商品グループ1、2：商品グループ2、3：商品グループ3、4：商品グループ4、5：商品グループ5）,商品グループ名 (商品グループ5),カテゴリ (商品グループ5)（0：(すべて)、1：商品グループ1、2：商品グループ2、3：商品グループ3、4：商品グループ4、5：商品グループ5）,取引先コード (標準受入ロケーション:発注先),取引先グループコード (標準受入ロケーション:発注先:取引先グループ1),取引先グループコード (標準受入ロケーション:発注先:取引先グループ2),取引先グループコード (標準受入ロケーション:発注先:取引先グループ3),取引先グループコード (標準受入ロケーション:発注先:取引先グループ4),取引先グループコード (標準受入ロケーション:発注先:取引先グループ5),取引通貨 (標準受入ロケーション:発注先:取引通貨),取引先コード (標準受入ロケーション:発注先:請求先),取引先グループコード (標準受入ロケーション:発注先:請求先:取引先グループ1),取引先グループコード (標準受入ロケーション:発注先:請求先:取引先グループ2),取引先グループコード (標準受入ロケーション:発注先:請求先:取引先グループ3),取引先グループコード (標準受入ロケーション:発注先:請求先:取引先グループ4),取引先グループコード (標準受入ロケーション:発注先:請求先:取引先グループ5),取引通貨 (標準受入ロケーション:発注先:請求先:取引通貨),掛率グループコード (標準受入ロケーション:発注先:請求先:掛率グループ),掛率グループコード (標準受入ロケーション:発注先:掛率グループ),取引先コード (標準受入ロケーション:発注先:この納入先と関連する得意先),取引先グループコード (標準受入ロケーション:発注先:この納入先と関連する得意先:取引先グループ1),取引先グループコード (標準受入ロケーション:発注先:この納入先と関連する得意先:取引先グループ2),取引先グループコード (標準受入ロケーション:発注先:この納入先と関連する得意先:取引先グループ3),取引先グループコード (標準受入ロケーション:発注先:この納入先と関連する得意先:取引先グループ4),取引先グループコード (標準受入ロケーション:発注先:この納入先と関連する得意先:取引先グループ5),取引通貨 (標準受入ロケーション:発注先:この納入先と関連する得意先:取引通貨),掛率グループコード (標準受入ロケーション:発注先:この納入先と関連する得意先:掛率グループ),取引先コード (標準使用ロケーション:発注先),取引先グループコード (標準使用ロケーション:発注先:取引先グループ1),取引先グループコード (標準使用ロケーション:発注先:取引先グループ2),取引先グループコード (標準使用ロケーション:発注先:取引先グループ3),取引先グループコード (標準使用ロケーション:発注先:取引先グループ4),取引先グループコード (標準使用ロケーション:発注先:取引先グループ5),取引通貨 (標準使用ロケーション:発注先:取引通貨),取引先コード (標準使用ロケーション:発注先:請求先),取引先グループコード (標準使用ロケーション:発注先:請求先:取引先グループ1),取引先グループコード (標準使用ロケーション:発注先:請求先:取引先グループ2),取引先グループコード (標準使用ロケーション:発注先:請求先:取引先グループ3),取引先グループコード (標準使用ロケーション:発注先:請求先:取引先グループ4),取引先グループコード (標準使用ロケーション:発注先:請求先:取引先グループ5),取引通貨 (標準使用ロケーション:発注先:請求先:取引通貨),掛率グループコード (標準使用ロケーション:発注先:請求先:掛率グループ),掛率グループコード (標準使用ロケーション:発注先:掛率グループ),取引先コード (標準使用ロケーション:発注先:この納入先と関連する得意先),取引先グループコード (標準使用ロケーション:発注先:この納入先と関連する得意先:取引先グループ1),取引先グループコード (標準使用ロケーション:発注先:この納入先と関連する得意先:取引先グループ2),取引先グループコード (標準使用ロケーション:発注先:この納入先と関連する得意先:取引先グループ3),取引先グループコード (標準使用ロケーション:発注先:この納入先と関連する得意先:取引先グループ4),取引先グループコード (標準使用ロケーション:発注先:この納入先と関連する得意先:取引先グループ5),取引通貨 (標準使用ロケーション:発注先:この納入先と関連する得意先:取引通貨),掛率グループコード (標準使用ロケーション:発注先:この納入先と関連する得意先:掛率グループ),取引先コード (標準完成ロケーション:発注先),取引先グループコード (標準完成ロケーション:発注先:取引先グループ1),取引先グループコード (標準完成ロケーション:発注先:取引先グループ2),取引先グループコード (標準完成ロケーション:発注先:取引先グループ3),取引先グループコード (標準完成ロケーション:発注先:取引先グループ4),取引先グループコード (標準完成ロケーション:発注先:取引先グループ5),取引通貨 (標準完成ロケーション:発注先:取引通貨),取引先コード (標準完成ロケーション:発注先:請求先),取引先グループコード (標準完成ロケーション:発注先:請求先:取引先グループ1),取引先グループコード (標準完成ロケーション:発注先:請求先:取引先グループ2),取引先グループコード (標準完成ロケーション:発注先:請求先:取引先グループ3),取引先グループコード (標準完成ロケーション:発注先:請求先:取引先グループ4),取引先グループコード (標準完成ロケーション:発注先:請求先:取引先グループ5),取引通貨 (標準完成ロケーション:発注先:請求先:取引通貨),掛率グループコード (標準完成ロケーション:発注先:請求先:掛率グループ),掛率グループコード (標準完成ロケーション:発注先:掛率グループ),取引先コード (標準完成ロケーション:発注先:この納入先と関連する得意先),取引先グループコード (標準完成ロケーション:発注先:この納入先と関連する得意先:取引先グループ1),取引先グループコード (標準完成ロケーション:発注先:この納入先と関連する得意先:取引先グループ2),取引先グループコード (標準完成ロケーション:発注先:この納入先と関連する得意先:取引先グループ3),取引先グループコード (標準完成ロケーション:発注先:この納入先と関連する得意先:取引先グループ4),取引先グループコード (標準完成ロケーション:発注先:この納入先と関連する得意先:取引先グループ5),取引通貨 (標準完成ロケーション:発注先:この納入先と関連する得意先:取引通貨),掛率グループコード (標準完成ロケーション:発注先:この納入先と関連する得意先:掛率グループ),従業員名 (製造責任者 *),工賃 (製造責任者 *)（1分あたり）,従業員備考 (製造責任者 *),非表示 (製造責任者 *)（「1」:yes、それ以外: no）,事業部 * (製造責任者 *),部 * (製造責任者 *),課 * (製造責任者 *),係 * (製造責任者 *),班 * (製造責任者 *),部門コード (製造責任者 *:所属部門),部門名 (製造責任者 *:所属部門),部門備考 (製造責任者 *:所属部門),従業員名 (生産管理担当 *),工賃 (生産管理担当 *)（1分あたり）,従業員備考 (生産管理担当 *),非表示 (生産管理担当 *)（「1」:yes、それ以外: no）,事業部 * (生産管理担当 *),部 * (生産管理担当 *),課 * (生産管理担当 *),係 * (生産管理担当 *),班 * (生産管理担当 *),部門コード (生産管理担当 *:所属部門),部門名 (生産管理担当 *:所属部門),部門備考 (生産管理担当 *:所属部門)
B0-0000000001-W700,新社名シール上貼り,1,2,,,,,,,1,0,0,0,0,,,,,,,,,,,,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,枚,0,0,0,,,,,,0,0,,1,0,,,,,,,,,,,,,,,,,,,,,内職,1,2,3,4,5,6,7,8,,,9,10,11,12,20,上記,,,-,,,,,,,,,,,,,,,,2025/6/4 20:22,wakasugi,2026/6/28 1:09,wakasugi,中安,,,,,50311,61681,50311,55007,2026/7/9,1200,2026/7/6,2026/5/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,,,,,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,,,,,,,,,,,,,,,,,,
B0-0000000A20-W200,A-20下アゴ,1,2,,,,,,9.99079E+14,6,0,0,0,0,,,,,,,,,,,本,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,本,0,0,0,,,,,,7,0,,1,0,,,,,,,,,,,,,,,,,,,,,内職,1,,,,,,,,,,,,,,,1,,,-,,4032,4059,,,,,,,,,,,,,2024/5/9 16:01,GEN,2026/6/28 1:09,wakasugi,中安,,,,,0,0,0,0,,,,,5,岸本　典子,673-1327,小野市市場町336-3,,0794-62-2882,,,,銀行振込,20日〆当月月末払い,,,,0,,,,,,,,,,,,1,,,round,0,31,0,1,,,,,,,,,,,,,購入品-注文書（新社名）.xlsx,内職-注文書（新社名）.xlsx,,,,0,31,0,,,,,,,,,2026/7/3,キシモト　ノリコ,,,,,40300,,,,,,,,,,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,,,,,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,魚住　真里,0,,,生産本部,製造部,製造一課,,,BCBC00,製造一課,,中安　弘樹,0,,,生産本部,製造部,成形課,,,BCBB00,成形課,
B0-0000000A20-W201,A-20下アゴテープカット品,1,2,,,,,,9.14001E+14,0.5,0,0,0,0,,,,,,,,,,,本,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,本,0,0,0,,,,,,7,0,,1,0,,,,,,,,,,,,,,,,,,,,,外注,1,,,,,,,,,,,,,,,1,,,-,,4032,4059,,,,,,,,,,,,,2024/5/9 16:01,GEN,2026/6/28 0:37,wakasugi,中安,,,,,0,0,0,0,,,,,2,社会福祉法人兵庫県社会福祉事業団【小野起生園】,,兵庫県小野市新部町１町通1320,,,,,,銀行振込,20日〆翌月20日払い,,,,0,,,,,,,,,,,,1,,,round,0,31,0,1,,,,,,,,,,,,,購入品-注文書（新社名）.xlsx,内職-注文書（新社名）.xlsx,,,,0,31,0,,,,,,,,,2026/7/7,ヒョウゴケンシャカイフクシジギョウダン,T9140005002399,法人,,,49909,,,,,,,,,,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,,,,,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,魚住　真里,0,,,生産本部,製造部,製造一課,,,BCBC00,製造一課,,中安　弘樹,0,,,生産本部,製造部,成形課,,,BCBB00,成形課,
B0-0000000E39-W200,E-39下アゴ,1,2,,,,,,9.14001E+14,14.3,0,0,0,0,,,,,,,,,,,本,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,本,0,0,0,,,,,,7,0,,1,0,,,,,,,,,,,,,,,,,,,,,外注,1,,,,,,,,,,,,,,,1,,,-,,4032,4059,,,,,,,,,,,,,2024/5/9 16:02,GEN,2026/6/28 0:37,wakasugi,中安,,,,,0,0,0,0,,,,,9,社会福祉法人兵庫県社会福祉事業団【小野福祉工場】,,大阪府小野市新部町１丁通１３２０,,0794-66-4570,,,,銀行振込,20日〆翌月20日払い,,,,0,,,,,,,,,,,,1,,,round,0,31,0,1,,,,,,,,,,,,,購入品-注文書（新社名）.xlsx,内職-注文書（新社名）.xlsx,,,,0,31,0,,,,,,,,,2026/7/7,ヒョウゴケンシャカイフクシジギョウダン　オノフクシコウジョウ,T9140005002399,法人,,水口　信宏,49919,,,,,,,,,,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,,,,,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,魚住　真里,0,,,生産本部,製造部,製造一課,,,BCBC00,製造一課,,中安　弘樹,0,,,生産本部,製造部,成形課,,,BCBB00,成形課,
B0-0000002100-0001,ホイッスルプラスチック小(黒),1,2,,,,,,9.99079E+14,11.5,0,0,0,0,,,,,,,,,,,,1,0,0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,個,0,0,0,,,,,,7,0,,1,0,,,,,,,,,,,,,,,,,,,,,出荷形態,,,,,,,,,70021,21,,,11,,,11,,,-,,4068,,phpg7tc1all0ng232IM7xZ.png,B0-0000002100-0001.png,,,,,,,,,,,2024/6/27 21:03,seizou,2026/4/6 13:00,hara,中安,,,,,-672,-672,-672,-672,,,,2025/10/24,6,小西　君代,673-0403,三木市末広1-7-1,,0794-82-1558,,,,銀行振込,20日〆当月月末払い,,,,0,,,,,,,,,,,,1,,,round,0,31,0,1,,,,,,,,,,,,,購入品-注文書（新社名）.xlsx,内職-注文書（新社名）.xlsx,,,,0,31,0,,,,,,,,,2026/1/9,コニシ　キミヨ,,,,,41810,,,,,,,,,,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,,,,,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,,,,,,,JPY,,,,,,,JPY,,,,,,,,,JPY,,中川　大輝,0,,,生産本部,製造部,物流課,倉庫係,倉庫班,BCBFKA,倉庫班,,,,,,,,,,,,,
